,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
crush,0.577350269,0,0,0,0,0,0,0,0,0
researcher,0.577350269,0,0,0,0,0,0,0,0,0
sarana,0.577350269,0,0,0,0,0,0,0,0,0
kabur,0,0,0,0,0,0,0,0,0,0
siap,0,1,0,0,0,0,0,0,0,0
warga,0,0,0.572895621,0,0,0,0,0,0,0.30432989
bahagia,0,0,0.819628335,0,0,0,0,0,0,0
maling,0,0,0,0.262284597,0,0,0,0,0,0
bayar,0,0,0,0.415711251,0,0,0,0,0,0
polisi,0,0,0,0.415711251,0,0,0,0,0,0
jahat,0,0,0,0.262284597,0,0,0,0,0,0
indonesia,0,0,0,0.262284597,0,0,0,0,0,0
bubar,0,0,0,0.262284597,0,0,0,0,0,0
ganti,0,0,0,0.262284597,0,0,0,0,0,0
pulau,0,0,0,0.415711251,0,0,0,0,0,0
mulyono,0,0,0,0.262284597,0,0,0,0,0,0
teroris,0,0,0,0.262284597,0,0,0,0,0,0
dialog,0,0,0,0,0.204021258,0,0,0,0,0
seru,0,0,0,0,0.204021258,0,0,0,0,0
koordinator,0,0,0,0,0.204021258,0,0,0,0,0
analis,0,0,0,0,0.323366044,0,0,0,0,0
lab,0,0,0,0,0.323366044,0,0,0,0,0
utama,0,0,0,0,0.204021258,0,0,0,0,0
politik,0,0,0,0,0.204021258,0,0,0,0,0
aman,0,0,0,0,0.204021258,0,0,0,0,0
podcast,0,0,0,0,0.204021258,0,0,0,0,0
bahas,0,0,0,0,0.204021258,0,0,0,0,0
cara,0,0,0,0,0.204021258,0,0,0,0,0
dinamika,0,0,0,0,0.204021258,0,0,0,0,0
balik,0,0,0,0,0.204021258,0,0,0,0,0
komunikasi,0,0,0,0,0.204021258,0,0,0,0,0
buruk,0,0,0,0,0.204021258,0,0,0,0,0
pikir,0,0,0,0,0.204021258,0,0,0,0,0
analog,0,0,0,0,0.204021258,0,0,0,0,0
perintah,0,0,0,0,0.204021258,0,0,0,0,0
bikin,0,0,0,0,0.204021258,0,0,0,0,0
resah,0,0,0,0,0.204021258,0,0,0,0,0
lewat,0,0,0,0,0.204021258,0,0,0,0,0
cari,0,0,0,0,0,0.447213595,0,0,0,0
kerja,0,0,0,0,0,0.447213595,0,0,0,0
baru,0,0,0,0,0,0.447213595,0,0,0,0
asap,0,0,0,0,0,0.447213595,0,0,0,0
sustainable,0,0,0,0,0,0.447213595,0,0,0,0
inap,0,0,0,0,0,0,0.707106781,0,0,0
tahun,0,0,0,0,0,0,0.707106781,0,0,0
healing,0,0,0,0,0,0,0,0.707106781,0,0
tipis,0,0,0,0,0,0,0,0.707106781,0,0
simpul,0,0,0,0,0,0,0,0,0,0.274705325
gaza,0,0,0,0,0,0,0,0,0,0.274705325
palestina,0,0,0,0,0,0,0,0,0,0.435397639
tetap,0,0,0,0,0,0,0,0,0,0.274705325
tahan,0,0,0,0,0,0,0,0,0,0.274705325
suruh,0,0,0,0,0,0,0,0,0,0.274705325
motivasi,0,0,0,0,0,0,0,0,0,0.274705325
stay,0,0,0,0,0,0,0,0,0,0.274705325
negara,0,0,0,0,0,0,0,0,0,0.435397639
