,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
hahah,0.267248544,0,0,0,0,0,0,0,0,0
tida,0.267248544,0,0,0,0,0,0,0,0,0
tau,0.423578921,0,0,0,0,0,0,0,0,0
siapa,0.267248544,0,0,0,0,0,0,0,0,0
crush2,0.267248544,0,0,0,0,0,0,0,0,0
mau,0.186798716,0,0.22718659,0,0,0,0,0,0,0
jadi,0.423578921,0,0,0,0,0,0,0,0,0
researcher,0.267248544,0,0,0,0,0,0,0,0,0
yapan,0.267248544,0,0,0,0,0,0,0,0,0
mana,0.267248544,0,0,0,0,0,0,0,0,0
bisa,0.186798716,0,0,0,0,0.20420729,0,0,0,0
sarana,0.267248544,0,0,0,0,0,0,0,0,0
kaburajadulu,0,0,0,0,0,0,0,0,0,0
udh,0,0.5,0,0,0,0,0,0,0,0
siap,0,0.5,0,0,0,0,0,0,0,0
banget,0,0.5,0,0,0,0,0,0,0,0
buat,0,0.5,0,0,0,0,0,0,0,0
warga,0,0,0.22718659,0,0,0,0,0,0,0.247922999
sana,0,0,0.325030529,0,0,0,0,0,0,0
gak,0,0,0.325030529,0,0,0,0,0,0,0
hepi,0,0,0.325030529,0,0,0,0,0,0,0
dong,0,0,0.325030529,0,0,0,0,0,0,0
ya,0,0,0.22718659,0,0,0.323660898,0,0,0,0
pada,0,0,0.325030529,0,0,0,0,0,0,0
lah,0,0,0.325030529,0,0,0,0,0,0,0
malah,0,0,0.325030529,0,0,0,0,0,0,0
ke,0,0,0.325030529,0,0,0,0,0,0,0
maling,0,0,0,0.238798057,0,0,0,0,0,0
bayar,0,0,0,0.378485966,0,0,0,0,0,0
polisi,0,0,0,0.378485966,0,0,0,0,0,0
jahat,0,0,0,0.238798057,0,0,0,0,0,0
indonesia,0,0,0,0.238798057,0,0,0,0,0,0
bubar,0,0,0,0.238798057,0,0,0,0,0,0
ganti,0,0,0,0.238798057,0,0,0,0,0,0
oleh,0,0,0,0.238798057,0,0,0,0,0,0
pulau,0,0,0,0.378485966,0,0,0,0,0,0
mulyono,0,0,0,0.238798057,0,0,0,0,0,0
bagai,0,0,0,0.238798057,0,0,0,0,0,0
teroris,0,0,0,0.238798057,0,0,0,0,0,0
indonesiabubar,0,0,0,0.238798057,0,0,0,0,0,0
dialog,0,0,0,0,0.187275206,0,0,0,0,0
seru,0,0,0,0,0.187275206,0,0,0,0,0
akbarfaizal68,0,0,0,0,0.187275206,0,0,0,0,0
reyhan,0,0,0,0,0.187275206,0,0,0,0,0
noor,0,0,0,0,0.187275206,0,0,0,0,0
koordinator,0,0,0,0,0.187275206,0,0,0,0,0
analis,0,0,0,0,0.29682418,0,0,0,0,0
lab,0,0,0,0,0.29682418,0,0,0,0,0
gunlebang,0,0,0,0,0.187275206,0,0,0,0,0
utama,0,0,0,0,0.187275206,0,0,0,0,0
politik,0,0,0,0,0.187275206,0,0,0,0,0
aman,0,0,0,0,0.187275206,0,0,0,0,0
podcast,0,0,0,0,0.187275206,0,0,0,0,0
bahas,0,0,0,0,0.187275206,0,0,0,0,0
cara,0,0,0,0,0.187275206,0,0,0,0,0
dinamika,0,0,0,0,0.187275206,0,0,0,0,0
balik,0,0,0,0,0.187275206,0,0,0,0,0
komunikasi,0,0,0,0,0.187275206,0,0,0,0,0
buruk,0,0,0,0,0.187275206,0,0,0,0,0
pikir,0,0,0,0,0.187275206,0,0,0,0,0
analog,0,0,0,0,0.187275206,0,0,0,0,0
perintah,0,0,0,0,0.187275206,0,0,0,0,0
bikin,0,0,0,0,0.187275206,0,0,0,0,0
resah,0,0,0,0,0.187275206,0,0,0,0,0
jangan,0,0,0,0,0.130899752,0,0,0,0,0.247922999
lewat,0,0,0,0,0.187275206,0,0,0,0,0
yas,0,0,0,0,0,0.292154583,0,0,0,0
hana,0,0,0,0,0,0.292154583,0,0,0,0
btw,0,0,0,0,0,0.292154583,0,0,0,0
dai,0,0,0,0,0,0.292154583,0,0,0,0
cari,0,0,0,0,0,0.292154583,0,0,0,0
kerja,0,0,0,0,0,0.292154583,0,0,0,0
baru,0,0,0,0,0,0.292154583,0,0,0,0
asap,0,0,0,0,0,0.292154583,0,0,0,0
sustainable,0,0,0,0,0,0.292154583,0,0,0,0
preferably,0,0,0,0,0,0.292154583,0,0,0,0
kalo,0,0,0,0,0,0,0.5,0,0,0
nginepnya,0,0,0,0,0,0,0.5,0,0,0
taun,0,0,0,0,0,0,0.5,0,0,0
dhir,0,0,0,0,0,0,0.5,0,0,0
healing,0,0,0,0,0,0,0,0.577350269,0,0
tipis,0,0,0,0,0,0,0,0.577350269,0,0
before,0,0,0,0,0,0,0,0.577350269,0,0
emang,0,0,0,0,0,0,0,0,0.633907694,0
harus,0,0,0,0,0,0,0,0,0.633907694,0
kita,0,0,0,0,0,0,0,0,0.443082464,0.156421997
simpul,0,0,0,0,0,0,0,0,0,0.223789284
biar,0,0,0,0,0,0,0,0,0,0.223789284
gaza,0,0,0,0,0,0,0,0,0,0.223789284
tetap,0,0,0,0,0,0,0,0,0,0.223789284
palestina,0,0,0,0,0,0,0,0,0,0.354697623
tahan,0,0,0,0,0,0,0,0,0,0.223789284
suruh,0,0,0,0,0,0,0,0,0,0.223789284
kesini,0,0,0,0,0,0,0,0,0,0.223789284
begitu,0,0,0,0,0,0,0,0,0,0.223789284
motivasi,0,0,0,0,0,0,0,0,0,0.223789284
mereka,0,0,0,0,0,0,0,0,0,0.223789284
stay,0,0,0,0,0,0,0,0,0,0.223789284
negara,0,0,0,0,0,0,0,0,0,0.354697623
masing,0,0,0,0,0,0,0,0,0,0.223789284
