author_id,created_at,text,tokens,filtered_tokens,stemmed_text,term,cluster
rzkr,2025-04-11T06:50:44.000Z,"HAHAH  yg dia tida tau, siapa tau si crush2 ini mau jadi researcher di yapan atau mana, bisa jadi sarana kaburajadulu ","HAHAH, yg, dia, tida, tau, ,, siapa, tau, si, crush2, ini, mau, jadi, researcher, di, yapan, atau, mana, ,, bisa, jadi, sarana, kaburajadulu","HAHAH, yg, tida, tau, ,, tau, si, crush2, researcher, yapan, ,, sarana, kaburajadulu",hahah yg dia tida tau siapa tau si crush2 ini mau jadi researcher di yapan atau mana bisa jadi sarana kaburajadulu,"hahah,yg,dia,tida,tau,siapa,tau,si,crush2,ini,mau,jadi,researcher,di,yapan,atau,mana,bisa,jadi,sarana,kaburajadulu",0
krimtigakali,2025-04-11T06:48:52.000Z,udh siap banget buat #KaburAjaDulu,"udh, siap, banget, buat, #, KaburAjaDulu","udh, banget, #, KaburAjaDulu",udh siap banget buat kaburajadulu,"udh,siap,banget,buat,kaburajadulu",1
JoseAndre89,2025-04-11T06:41:27.000Z,berarti warga sana jg gak hepi dong ya pada kaburajadulu lah yg di sini malah mau ke sana,"berarti, warga, sana, jg, gak, hepi, dong, ya, pada, kaburajadulu, lah, yg, di, sini, malah, mau, ke, sana","warga, jg, gak, hepi, ya, kaburajadulu, yg",arti warga sana jg gak hepi dong ya pada kaburajadulu lah yg di sini malah mau ke sana,"arti,warga,sana,jg,gak,hepi,dong,ya,pada,kaburajadulu,lah,yg,di,sini,malah,mau,ke,sana",0
seijisuzuki6,2025-04-11T06:28:53.000Z,Maling Bayar Polisi  Penjahat Juga Bayar Polisi  Indonesia Bubar & Digantikan Oleh Pulau Mulyono Sebagai Pulau Teroris.   #KaburAjaDulu  #IndonesiaBubar,"Maling, Bayar, Polisi, Penjahat, Juga, Bayar, Polisi, Indonesia, Bubar, &, Digantikan, Oleh, Pulau, Mulyono, Sebagai, Pulau, Teroris, ., #, KaburAjaDulu, #, IndonesiaBubar","Maling, Bayar, Polisi, Penjahat, Bayar, Polisi, Indonesia, Bubar, &, Digantikan, Pulau, Mulyono, Pulau, Teroris, ., #, KaburAjaDulu, #, IndonesiaBubar",maling bayar polisi jahat juga bayar polisi indonesia bubar ganti oleh pulau mulyono bagai pulau teroris kaburajadulu indonesiabubar,"maling,bayar,polisi,jahat,juga,bayar,polisi,indonesia,bubar,ganti,oleh,pulau,mulyono,bagai,pulau,teroris,kaburajadulu,indonesiabubar",1
lab45_,2025-04-11T06:28:23.000Z,"Dialog seru antara  @akbarfaizal68 , Reyhan Noor (Koordinator Analis LAB 45) dan  @gunlebang  (Analis Utama Politik Keamanan LAB 45) di podcast ini membahas secara mendalam dinamika di balik “#KABURAJADULU | KOMUNIKASI BURUK & PEMIKIRAN ANALOG PEMERINTAH BIKIN RESAH” Jangan lewatkan","Dialog, seru, antara, @, akbarfaizal68, ,, Reyhan, Noor, (, Koordinator, Analis, LAB, 45, ), dan, @, gunlebang, (, Analis, Utama, Politik, Keamanan, LAB, 45, ), di, podcast, ini, membahas, secara, mendalam, dinamika, di, balik, “, #, KABURAJADULU, |, KOMUNIKASI, BURUK, &, PEMIKIRAN, ANALOG, PEMERINTAH, BIKIN, RESAH, ”, Jangan, lewatkan","Dialog, seru, @, akbarfaizal68, ,, Reyhan, Noor, (, Koordinator, Analis, LAB, 45, ), @, gunlebang, (, Analis, Utama, Politik, Keamanan, LAB, 45, ), podcast, membahas, mendalam, dinamika, “, #, KABURAJADULU, |, KOMUNIKASI, BURUK, &, PEMIKIRAN, ANALOG, PEMERINTAH, BIKIN, RESAH, ”, lewatkan",dialog seru antara akbarfaizal68 reyhan noor koordinator analis lab 45 dan gunlebang analis utama politik aman lab 45 di podcast ini bahas cara dalam dinamika di balik kaburajadulu komunikasi buruk pikir analog perintah bikin resah jangan lewat,"dialog,seru,antara,akbarfaizal68,reyhan,noor,koordinator,analis,lab,45,dan,gunlebang,analis,utama,politik,aman,lab,45,di,podcast,ini,bahas,cara,dalam,dinamika,di,balik,kaburajadulu,komunikasi,buruk,pikir,analog,perintah,bikin,resah,jangan,lewat",0
tangerinecourt,2025-04-11T06:28:19.000Z,YAS HANA btw dai cari kerjaan baru asap ya yg sustainable.. preferably yg bisa kaburajadulu ,"YAS, HANA, btw, dai, cari, kerjaan, baru, asap, ya, yg, sustainable, .., preferably, yg, bisa, kaburajadulu","YAS, HANA, btw, dai, cari, kerjaan, asap, ya, yg, sustainable, .., preferably, yg, kaburajadulu",yas hana btw dai cari kerja baru asap ya yg sustainable preferably yg bisa kaburajadulu,"yas,hana,btw,dai,cari,kerja,baru,asap,ya,yg,sustainable,preferably,yg,bisa,kaburajadulu",0
inertiamomentio,2025-04-11T06:06:34.000Z,kalo nginepnya 10 taun dhir? trus pake hastagh #KaburAjaDulu,"kalo, nginepnya, 10, taun, dhir, ?, trus, pake, hastagh, #, KaburAjaDulu","kalo, nginepnya, 10, taun, dhir, ?, trus, pake, hastagh, #, KaburAjaDulu",kalo nginepnya 10 taun dhir trus pake hastagh kaburajadulu,"kalo,nginepnya,10,taun,dhir,trus,pake,hastagh,kaburajadulu",1
dillanhaddad,2025-04-11T05:49:00.000Z,healing tipis before #kaburajadulu,"healing, tipis, before, #, kaburajadulu","healing, tipis, before, #, kaburajadulu",healing tipis before kaburajadulu,"healing,tipis,before,kaburajadulu",1
lunneau,2025-04-11T05:48:11.000Z,emang harusnya kita #KaburAjaDulu,"emang, harusnya, kita, #, KaburAjaDulu","emang, #, KaburAjaDulu",emang harus kita kaburajadulu,"emang,harus,kita,kaburajadulu",1
hal4nz,2025-04-11T05:36:39.000Z,"Jadi kesimpulannya, biarkan warga Gaza tetap di Palestina dan mempertahankan Palestina, jangan disuruh #KaburAjaDulu kesini  Begitu juga dengan warga negara lain, kita motivasi mereka untuk stay di negara nya masing-masing","Jadi, kesimpulannya, ,, biarkan, warga, Gaza, tetap, di, Palestina, dan, mempertahankan, Palestina, ,, jangan, disuruh, #, KaburAjaDulu, kesini, Begitu, juga, dengan, warga, negara, lain, ,, kita, motivasi, mereka, untuk, stay, di, negara, nya, masing-masing","kesimpulannya, ,, biarkan, warga, Gaza, Palestina, mempertahankan, Palestina, ,, disuruh, #, KaburAjaDulu, kesini, warga, negara, ,, motivasi, stay, negara, nya",jadi simpul biar warga gaza tetap di palestina dan tahan palestina jangan suruh kaburajadulu kesini begitu juga dengan warga negara lain kita motivasi mereka untuk stay di negara nya masing-masing,"jadi,simpul,biar,warga,gaza,tetap,di,palestina,dan,tahan,palestina,jangan,suruh,kaburajadulu,kesini,begitu,juga,dengan,warga,negara,lain,kita,motivasi,mereka,untuk,stay,di,negara,nya,masing-masing",0
